reviewId,content,score
68ebd20e-57ad-49dc-8fe7-6b8c81b76510,Supar,5
3347bbe2-c08b-4e22-8c58-1cb601a6791d,Excellent but prizes are very less,5
ac6ef927-9f19-4feb-bca3-9d60214fcbc2,Great for passing time,5
a6da71e9-9580-44f4-a924-74858774a284,Super,5
8cd8ec5b-53ad-45a2-af16-e168e8c6e1b6,I am obsessed,5
73ecbfeb-09c0-402c-8f57-24e8bdb58b8f,I love this game,3
f93fccaf-2cea-4a3f-94e5-8155ff2174e2,It's a lot of fun & highly addictive 😀😁,5
ece365e7-fa72-4d58-a365-6701aa239440,Wont complete loading. Says its updated but goes to loading screen and the aborts. I have bern playing this game for years and cant seem to figure out what the problem is.,1
277fa77a-e6af-4394-ae5b-6481e370d8c9,Time pass,3
8872c60c-09be-4e69-a97c-0cee0614ba15,Lovely,5
8926f116-1d34-4202-8ad1-661647ccbcab,O F. Byhg,4
36765df4-9a98-4745-97ce-093ac924690e,Ok,5
23e89ae5-34d8-407f-8f45-e3b7cdec75be,Super fun,5
5d2cb307-828a-4889-b437-0fe1b6ccc8f8,The game is best but we rech higher level it becomes dificult,4
edda4305-220f-459e-a181-ee33d78e7c49,I enjoy it,5
a1d9e793-88ec-4ad2-b878-4d083fbfcd32,Mind blowing game.,5
da474f3b-b2b7-47c9-baf9-b2ac6f1f9c4d,Very good game,5
d809e07f-6128-46c8-a5df-51bed7e92ba0,Nice,5
5eb12d2e-441f-4f37-a1be-38f6d8b97cc0,Please increase the moves in Google show 30 moves and in my game only 20 moves why,1
d37e1571-164d-41a6-a4fb-80b8f0f7f3da,I've been playing this game for years. It relaxes me from stress.,5
f0b9c2a8-ff2c-4daa-84bb-e62853a9f73c,Please include ufo and party booster in daily spin wheel and sweet cinema...,4
df45c58d-29eb-4e5e-99fc-1443a8cde7f7,Fun game,5
f6ed6917-410d-4e48-9d5a-4e0e76820c57,Fun fun fun fun,5
12bbc254-774c-4655-82e9-8ae7e974cbec,Nice game,5
541bfb50-51f5-457d-abe7-3ac7d0f15b9f,Game freeze. I can't play anymore because the game won't load. I guess after the last update. Uninstalling. Sad.,1
87a4e573-9337-40ef-adb3-fcd5c377d5eb,Osam,5
50b5566e-29b2-4847-92cd-34dc43fd0863,My favourite game,5
8c465925-4300-4226-9832-3f811ad56545,Great,5
