reviewId,content,score
e05e13d2-6fde-404f-bdc4-a29f085c08c4,very good app,5
c90d8e0a-fc29-4db3-9b66-006a0d8ca45d,Cannot cancel subscription. Happy to take my money but no information is easy when u want to cancel.,1
399cf166-3eb5-4cdf-a107-f1295e8683a2,Well formed,5
6beb6ab6-bed8-4139-ba28-92b48fa7e29f,A perfect web-tool that would not work on my Oppo phone under Android 12. It simply doesn't start,1
2a154da5-2348-4db9-856c-67b2b05d1db3,Why can't you upload a folder? Single file UPLOAD IS STUPID. You should have both options.,3
b7d04827-6d80-49f9-be1d-2e722213910f,Love the free storage and you can earn extra free storage to add to your already free,5
84ff4cd1-1cdb-4b1d-bd8e-b1f363cebb83,my fave.. the best cloud storage so far.. thank you 🙏😃,5
ce6043c0-4b4a-4117-b063-5af5b4435663,Forcefully Download to view Content.,1
404e4e2b-6595-425f-8a70-9c8461853776,best,5
c51da0f2-ba0d-4494-b58b-4705e25684bc,Once you start with them you're stuck if you don't upgrade you loose access to all your files and photos. (You are prisoner),1
86b15ad4-64c7-4c02-978a-093780aac896,عالیه,5
443a0729-c981-4691-9f87-7bdb474a1b27,the Storage size is not satisfactory,2
85080243-f055-424c-901c-2f340630a12f,Good!,3
faa13841-52d0-49c9-8804-a71ae3b7c6b8,App crashes when opening shared files instantly.,2
5f3fbee2-9e1f-4037-b604-353bb229dcc9,Can't find how to unsubscribe,1
91e7d4d4-7279-492e-9dd1-483b57c84b4a,The pioneer and gold standard in file share. My memory keeper.,4
11a45628-5720-46ea-b5dd-608d6573448a,Interferes to frequently in other programs with suggestion to use.,5
23749391-f51a-4f5f-b006-20574cb4d0b6,Good,5
90a4d0b2-c459-4d35-af05-579c71163f7d,"App just crashes, can't even log in. Terrible release.",1
8f01deb4-6d39-4c04-abf1-f3e192deffaf,new dropbox update closes and kicks me out everytime I try to open a .txt file. Now worthless.,1
eec287df-13d5-4ee9-bb8f-d46249123e8c,Cant get in as I used it 1 time 10+ years ago and cant remember password. Your option to change password doesn't work.,1
0136752c-a6c3-4089-b397-f428bdfef1cb,I dont remember buying into it... how do I ...cancel my subscription,2
bdfb0945-7ef6-4fef-9cd6-4bf3db4b3798,it's good,5
ec050b97-8b6c-406c-8561-1798ba904c4e,"Payday for extra storage to share a number of files. The system is not to trust and works deficient + unstable and extremely time-wasting slow. After 1 week I still did not manage to select pictures and organize them correctly, it becomes a big time wasting mess with gaps in the total organization and impossible to select and organise all of my files, not one by one, not by bigger amount. I like to use the wetransfer system to share my files",1
1606ebed-0828-4316-b4bc-84d88bfd5b10,Great app for team work!,5
11f53411-911a-4a9d-ac1f-9ac78afbeae7,Developer using the app to conduct illegal activities through ads and integrated and embedded,1
6e920f53-23ff-42e5-92ea-2bf6bf3158cb,Very good app,5
73df502c-9207-4604-a048-98324f1f6dfb,"This app is much more satisfying regarding my documents coz i've had lot which are unable to handle for me on my android phone and i want everything on one place.So, i got this:)",4
8946dbb5-4601-4c0a-ac56-98ab9f53d6d9,lovely app,5
df164060-add0-4782-8ff4-0d0eb5aa820a,I don't want this app. .,1
db4e36d5-c26a-4ee2-9017-4c1c0f2ccedf,it's the best app ever,5
9859bbdb-569a-4fb7-a862-26f11c9d6b3e,Nece da odradi upload preko mobilne mreze iako je ta opcija ukljucena,1
eb0b9efa-edf6-4489-87dc-62bbaf7ff82c,Not much useful than onedrive but not bad keep up the good work,3
9cb552f5-6d15-4f5c-a711-46bb26b21fbf,Woww,5
d7d4f136-7473-4408-ae0b-355eb9e8aab4,Works great everyone should use dropbox,5
5b0565c1-138e-4add-a9c2-899638b23062,"good app for saving files , thank you !",5
85eaacf8-e6b1-4621-997c-8b332b74c350,Cant cancel my subscription they keep charging me have not even used the app website just loops you back to the same page where you started tried calling its voice mail that tells you to contact them through the website,1
