reviewId,content,score
ca1c82a8-7152-444d-9e15-02605a2a92b5,Bad,1
d7aacba6-a314-47c8-9ffb-6f58e17d3105,Bu no saved my video,5
c5107064-0406-4117-815d-7509a4b0c78c,Awesome app to learn and earn,5
ce39c366-9d3b-4401-8990-65300110536a,i love it❤😍,5
2139c1ce-e633-4837-b5d2-2fbeaacc2fe5,bekar bom. bed.bed app,5
0e7a00a3-7fd8-445b-96c5-94469ec699bd,Nice,4
6f82a3ea-bbce-407e-82be-4b96f7055b4a,Very nice,5
80cbfac6-4a91-4335-925a-441e987ac0f2,@_phinix_444_ colour themes option no Solve this problem,5
8ed709a7-0c4f-4a74-9ba3-97fbed159170,Very nice app for express your fellings for your idol..❤etc..,5
9224d1e9-1466-474a-887c-fbd635f6310a,Nawab very good app,5
a94c1430-81ab-468b-afc1-510926cb76b2,All is well,5
4ba5b088-7689-441d-884c-ecf4ee73dcc7,HejSh,2
8f639638-bbbe-411f-863a-dc2e629f765b,I'm giving it one star... because girls are blocking me 🥲 idk what to do with it hate the block sign,1
42ee35f7-7bde-4825-83ca-4233039ae27f,It's been impossible to switch accounts with this version. Have to uninstall and reinstall it like thousand times.,1
1a03ef3f-a649-4422-9081-7dfc352d063b,Super hai,5
325fda86-870c-4127-8be3-7b1c8446985c,Super amazing lovely app 😍😍,5
5867a4b9-1acd-4849-9bf5-5409589fb24d,I'm Instagram lover,5
2dcfac55-edd2-470f-b8c6-5f669b2a384a,Awesome😊,5
05bb5488-702d-429c-9045-a8453a04cbbd,Not smooth,3
a155c75e-f47a-455b-8658-d208035da812,Waooo,5
de721f4c-b263-4f35-9518-c6b72e84e321,Worst app posts are not available to send to as a story,1
53a5cb9c-655c-4618-98e3-6ff8c14f55db,Good,1
b94b66c0-6fea-4137-9b82-f0da5303d470,I can't see my archive,2
13255ac7-64c8-4a13-a0e7-5c14f14c758c,Ade amng,4
0bbebb24-f1bd-44bd-a901-bac56093baac,Nice,5
9d15fc10-c564-4080-9a60-44bd35dab1ae,Good,4
a53cee0c-119c-48b8-9b22-f8d8e7023d11,Very good 😊,5
b1923dfe-ca32-40e0-91de-d9bbefdcd004,Good,5
dc71ce36-95bb-4424-862e-e1c66cad708e,Please separate the reel features and videos. Reel can't post to 6 minutes.,2
397724fd-ab1b-451f-9f1b-5083a1847f60,Why can't I find the caption sticker? I really want to use that function so captions can come automatically on my videos please fix it.,5
c38c4332-8e91-410f-8f4d-f17025cb8b2c,Horrible,1
b711c89a-dc3a-43d7-8e04-389a10ca4fc1,5 sater,5
21f013b1-479d-481e-9c47-95a565776828,bosss,5
b1526def-3648-4add-8dd4-f28fb27c7bf8,Awesome 😎,5
8c5ec7b4-81dd-4694-8f6a-22a49344d2a6,Good👍👍,4
4564bc50-08f8-4262-838b-b59e2ff3f29e,Most used app,2
9c9226c6-9e95-430a-9743-7952bf8904e3,Anuj pal,2
3036ca1e-c9e4-4af8-b3a9-ca89496fd1b8,Glitches glitches glitches,1
b964b95e-7ba3-4834-b0c9-c734e1e6be5e,Very nice social media app,5
b76d4f9d-7eb6-486e-a26c-e8e9dd4faa14,Instagram is life,5
97c24032-c6d2-4f2d-b62d-0654586d2330,Bad thing is that the video is not saved in gallery with music,4
e730a1d6-1392-41f6-8d7e-d7c95a5226b5,Good app I like this app🤩,5
e472caa5-45bc-4a80-af3e-f6b3ef666ea5,Bad Aap 🖕🖕🖕🖕😡😡😡😡😡😡💩💩💩💩💩💩💩💩💩💩😡😡😡😡😡😡😡🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕,1
ffefb7ec-1fb8-4c45-bc09-355d4bfeddc6,Good app,5
df585d66-93d3-45c5-8868-f9a688955a80,Music sticker,5
c1d1e34b-410b-4a91-baf8-abc14c94b625,Nice app,5
5ea7201d-d10a-4224-8bf3-4be82ff426ca,It's my lovely app,5
2d8e0a2d-ddf0-4141-acc9-cedddba506e8,Awesome,5
1ccd92a6-3ea5-47a6-b46e-87048b197bba,Excellent,5
ed8b0ba6-ec82-49ed-b5ac-58479344cf25,Good 👍,5
cd5bf6bb-edae-409a-9de9-e899453393e3,Dwonloand No reel opstions,5
8aadc3d3-a625-4aaf-b60e-beb85ea7af59,My instagram messenger logo cannot can not be updated please help me,5
c3d6b367-c32e-4b82-a41d-97ee37b82807,Simply osm,5
19482eb6-bc1a-4792-a21d-475b4ce83a63,pagal,3
60cdb816-efe6-4299-958c-e9ae3d88c56d,Nice,5
c97aa9f3-b377-4797-974b-97fb2c9b65be,So nice,5
ccc4cb51-350e-4a69-9343-398db6f1b37f,When i click a link and go to a webpage and return back to insta its becomes black and white,4
eb051f1f-cbde-491c-b746-aa72d79edf19,Good,5
953d0c4d-d882-4a0f-a1ff-22f60574ada6,Ys all XL XXL,5
3409a447-4aa7-4979-aa1b-eec417234b1c,But reel is not posting,5
28d4efe6-0a45-4bef-9a8a-c84a1a594909,Good. App,5
575d2177-62fc-4c99-ae1a-8faca150f4b2,Not Installed in my phone,1
