reviewId,content,score
6ea03003-06bb-4d02-925c-9207f2c98536,"apk elit, login sulit kntooooll",1
c146d501-6478-42f9-b354-2f3b9a03cede,Need more improvement on this apps like can viewing YouTube sharing with ur friend & translation on other languages,1
5703f02f-4993-4a6b-841e-87aa7dc6c97f,Good,5
700b2ab7-a27a-48cc-a3d3-9396a18835bb,Veryconvenient,5
85612574-0070-4806-ae86-7ffe0ef3e403,Ok,3
b220bc77-c42b-4e3b-a1ea-bff1bb55d3c8,Beautiful,1
9e221b85-e5c7-4dae-ba32-512880b3dccb,❤,5
cd3fbd09-25ed-4313-a55b-63f9258de34f,"This apps is sucks!! My wife account was deleted by system cause the old number was recycled by provider. Then we try to sent inquiry to CS, but received message cannot recovery because deleted. Da#n!! Many preciously memories (album, photo, etc) and valuables note in that account. Very very disappointed!",1
6f52a833-f941-4080-a59d-36df98ea26af,Literally don't like it I mean I'm not able to find my friend by line I'd i don't know what unknown error this application have. Can you fix it please,1
bb2f92a7-e9a6-49de-af4e-4d490893230a,this is perfectly good i use this app for 2 years and thos is so good,5
d8ea0b23-b0d0-47e7-b7ba-3d3c85138f94,Ganga theeng,1
f2d55e96-4853-49c5-991c-206ac47818de,Chat is Broken,1
383cd854-c3a0-4b8b-b287-8dbee22920ed,I can't receive any code this app is scrab,1
dc4f206b-fd8d-4df0-995d-663158ce82aa,Helpful,5
a14e13bc-8be4-4eb4-b2ee-73a951d4901d,👍,5
1d314b57-b62a-4665-9127-06da6a405bef,Facing issue in message read after sending message so much time to read to other person,1
13d438f8-ed40-4d98-b5ae-c4f89cc008b7,cam nya mati mulu gabisa liat ayang sendiri,1
d465b626-6b25-47ad-ac09-44f3ef84deea,Why am I not getting the verification code,1
6a86701f-b964-46d9-a66b-9ac0f7fda52b,Useful,5
65df3fb1-6eb5-44d6-981e-35c6cbea4657,"Not able to add literally anyone to my list, even after giving every permissions, auto add is also on. Worstttttt experience.",1
9c9449ba-0126-4c48-8144-1307ab5d6832,"When I try to add friends who have a line account using the QR or link code they send me, I get unkown error. When I send them mine, they say there is nothing there.",1
d16bdbf6-b2bf-46d8-b45d-f61f314a3956,Maama Xx p,2
44cd35c3-1b74-4f07-91df-8fa020c2313d,The app was to good but some scanner are not opening I don't why please check the issue,5
0a04bf55-c751-4451-9756-3fa9dbd29e12,👍👍,5
37e17be4-091b-45a7-a292-a76dfe6d1cdf,👍🏼👍🏼🤮,5
02679172-4c7b-4852-8c9a-b879bd6cd763,Good,5
a8f0fd8e-93f3-42a0-a198-f546bb48767b,This App Is Abusing App,1
4b63b638-60ec-42c8-b9cb-5ce54788c0b3,Can plz tell me how to upload more then 5 minutes videos in lane chat,5
8fed84aa-69ec-4eb8-9326-b4c3f431df7a,CANNOT UPDATE TO VERSION 5.1.1,5
