reviewId,content,score
0e9eafcd-54b4-4306-ad99-2e510b442132,Very useful for me...,5
e7f77414-a02c-4241-8785-81bf18224928,Love it,5
1cd94d3b-a808-41fc-aae4-00b08ca6b7c4,"Good, easy",4
3f0275b0-823c-4641-a307-6e45bf701d2d,Good application,5
98019197-5a0b-4399-b687-56174509030c,Excellent,4
4e9d5ad1-cbfe-48b8-9b1c-abd65fda7eca,Nic,1
1c4edc9f-5af3-4b44-bd6d-7ea351ffc5a9,Good,4
d41589ac-3c0a-4852-b142-0a5c4fe9601d,Good,4
e3e5be4b-acb0-41e5-b2b3-b7db1788e671,Good,5
46e292d5-2599-4587-9e61-2cbd2ac4774a,Fantastic,5
0c392f72-bc45-4e78-a8a7-9f79ec190461,Good,5
e057593a-88c8-4339-a87b-79681828ca9f,Smart look up is the Best,5
c6fd8ef2-db22-43fe-b759-36824d5224fc,Best,5
3eb8117e-f316-495a-8505-7186e5fd0388,Mmmm helped a lot,5
12b4a8f6-61fc-4f36-80f0-5a4dbc714617,This mobile APK is as good as Windows application. Very convenient. Nice ! But features available are less than Desktop version.,5
f63d7ec2-99e2-4384-aba3-d01928088d79,It's like having laptop on the mobile,5
bfff2683-6ca8-45c3-870a-c99bde2ffe3c,This is a very good app,3
3505db7e-7c03-42b2-a21e-a567501b8e30,How can I create table of contents in mobile app?,1
0d177b76-1c5e-4411-9779-6bcc50ed48c1,why do i need to subscribe first before being able to creat a new file?,1
f49296e4-c61d-46e3-8104-2368ea79bcbb,I have a great experience using this application,5
352fb4e7-90ad-44aa-b3d1-405d92bb91b4,Great,5
eb28c982-4091-4a00-845a-8b4a7bfe09f5,It was my first time using it ....it's good,5
26953fa8-a3b9-4e37-b207-e2d589c426b5,Difficult to use. Many features and menu items from Office360 are missing.,3
4e61fde4-bd6a-4ef1-81e8-87a17770392c,West,5
16e730cf-6b9e-45c6-9df1-cc8614882502,Horrible. Could not even open a blank document.,1
b5a6d463-3878-4295-9fdb-a9cb52946124,Good,5
439f743c-f4c2-40ee-92ba-43b489cbd936,Helpful,5
d71ab385-62f9-4c55-8fe6-02c8489687b5,This app is not installing when I need this very badly. 😠,1
8c7f92c9-4ca7-4d99-9cfc-e4843ab47cef,Excellent experience,5
ba8ff4b7-0746-4552-a806-faae51248de4,Good app,5
6ba942de-2dea-48a6-a508-78fc8abc588d,Great no problems,5
00e1b4fe-8b04-4b84-a52f-0097c05a00ef,It's good and better 🐱,4
0b3f1cbd-0d3a-437e-949a-8532942f6ffb,Assists with daily necessities,4
d4f1ce8f-5ed3-4815-93f4-83b2b5d3f46b,Nice app,5
f1fefc71-8632-4a6c-ae3d-12cf45b98f1a,First time using it to write a letter.,5
4fddead9-cb4f-4d23-ac4a-38d59f0f5d7d,Its great!,5
3bf2113c-994d-4a62-93da-234103548fb0,If I could I would give this 0 stars its a joke its so laggy and trying to create an account is ridiculous it keeps making you do the same thing over and over again cause of the lag so it doesn't even create the account and without trying to create an account it won't let you use the pages not even the blank page don't was your time people DONT DOWNLOAD THIS APP.,1
3655ccbf-ae97-4883-994c-0a91abe4f02a,Very good app. Love using word. Very convenient for me to use right at my fingertips,5
21550b98-0e51-476d-a364-8d2cabaf7a70,"Well it would be more convenient if it could be translated in to a DOC or simple txt file,when moving stuff from phone to PC environment.",5
77a6908a-a134-443e-982c-6622e19b5c0b,Amazing,5
55cd96da-e2ba-4025-80b9-7e0253d2b16e,Microsoft,5
f4460c45-8106-4eae-b97c-2151ae929618,I give a five star because wonderfully works perfectly.,5
017a7aa7-f6e5-415e-bf8a-c26b0a2dbbe8,Good,3
30edeeae-08d9-479a-8532-9545c5b7962e,Best You Could Ask For,4
b9ae0db4-35ff-4180-990e-f140d8f9617c,The app is good,5
5be2820e-cdf4-49a7-a0c5-c5739511f02f,"Just fantastic. Very user friendly, I love this app. Kudos to you.",5
565cf4eb-4fe1-44cc-aded-89513088ebbc,"Helpful with lots of information. Though I find some challenges to follow directions. For examle: I fail to access a document Simon and Brian I last worked on last Thursday, 06/10/22. It has about 157 pages.",4
bf94d0ac-b47c-4f57-ade4-d9dc81f025f2,Excellent App! I've never used any better.,5
