reviewId,content,score
5262d397-8511-4644-a2be-816d22d2d06a,There is a problem playing the video.(5.7.1) error code ....(again the same issue) please resolved the problem netflix team..,1
267ead48-2a7e-4ee7-a8b7-7038c489a5a5,One of the best.,5
299b228f-5a77-4f0a-a212-bca7ca7bfd80,Superb,5
ba927c85-c541-4f07-b952-809738d66e4a,i keep on downloading it coz' its not working properly😩,1
f2b3c0f2-0fc1-4a0c-876f-9b6208de47dd,Good,3
b0bf4e52-77c8-42e0-b365-c24beeba3736,Top klas,4
fe86a5d0-b6af-4de3-9b6b-de6bdc58f483,Lot of problems with this app,1
f63fd912-de08-400c-8f60-79b6e21c3bcb,Good Helpful happenies for me,5
92952adb-74f6-4371-bea1-c1fecb5e18de,lots of movies to watch,5
d0ee8ce5-ae6f-4e39-ae50-c82baef7be41,It's great 👍,4
d91c07a7-57d8-41d5-abb1-f6841fc0183a,"Wont load in, after reinstalling it told me to sign into an acc and if i chose the acc it wont even sign in. This app sucks sm bruh",1
ae747e52-0eff-4fe8-9fe1-2014ef9f9215,"""You're almost there""",1
880c3170-d37c-46de-89ce-e2cb3783d2de,I can't search the power ranger dino fury season 2.,1
2bf6e77f-8ebd-4f0c-8efc-8a4ab2601eeb,I like it makes me busy,3
51a29656-cae0-4213-96d2-3b79b41dde22,Berbqt,1
7297a3e9-9c67-4f8b-82c1-1a5e748d05e0,De ce nu imi da option de conectare?,1
b6f08a40-4e96-48ae-89a7-f12c73c0a0dc,Please do some enhancement on the subtitles. Only white colored font doesn't help user to read those subtitles. Can't even see anything. Had to pause and dimmer the brightness just to read the subtitles. Please do add black background color for those subtitles as usual. I guess the white font with no background are mostly on the new dramas especially animes. Do something Netflix!!! Paid my money not for to observe the subtitles!!!,2
4354a9d7-7985-4f71-952a-07099ad05ca1,exciteing great,5
2fdafbc2-6f9a-483d-bac2-6fb788485fff,too much rules,1
ceb80d1a-2b2d-44d6-829f-03ce078ae1a0,"I CANT LOG OR SIGN IN IM NOT A BOT NETFLIX SAYS ""RESET THE PASSWORD"" AND I GOT MAD",1
16c2feaf-589b-4e5b-ad52-ba83e53fedda,Jolliya day did 🤭🤭to ♥️💖s run town s r😭T d😁did s 😭d😭😭💔osee ddr 😭ok,5
66489b4d-b54f-4d6d-8644-b1788f81d340,Good with movie and show but app is not good app allowes come with the new error,2
5d193f05-ae98-4275-b4ad-e50d48dd04dc,Super,4
f0dd05cf-0139-4b60-a0a7-b45097d24e20,👉👌,5
b181809b-696a-421a-99dc-65c545aaee6d,"Please, at least put an outline on the subtitles especially if it's a foreign series or movies. Highly appreciated if this had been heard or done.",4
22e7ac33-4a56-4d18-a38c-fb11d6dfc3aa,5 Stars Until you connect it to an external monitor. No Picture due to DRM by the googling I did. 4 years is a long time not to fix the issue. cannot view my downloads on a TV with out internet access,3
7231f59b-2c99-4253-a042-aea2b734f61a,Best💥💥,5
e7beb895-56d0-421e-87d8-35cd5d7203f8,Its very good 👍,5
06d2db9d-0667-44fa-b203-4a625e06f6ce,"hi netflix, please update movies like Tentang Dia, Heart or old Indonesian romantic films. And also please update all seasons if there are any. Thank you. ￼",3
e41de4bd-c7c4-48e2-95b8-45b1dba2c1cf,Make money,5
c9444caf-6657-4733-9575-c664fb29673f,"Ja halar pora togo show dekhmu na na dekhle ki hoice , 3rd party web diya dekhmu bina mulle 😆😆😆 keda to subcription kore mother****",1
df2f70e9-ab87-4f84-b1bc-62e2b70625fa,It's Netflix enough said!!! A+++++,5
cdb32945-1219-4539-9e9a-bc7b15f0490c,Need more new films,5
c9633862-a4ef-48b6-9667-70e66d54f16e,Great for new films,5
0112e4df-980f-4be2-b724-e708800c3cd9,OUTSTANDING!,5
2b95e9ed-f4c4-40d1-992e-216e2adb70f0,"Can't see captions, there should be option to change the color of caption or to add some stroke. Why free apps like MX Studio is better than some big company like you.",1
c84a7436-75be-471a-97ce-202d81ea7ffa,Amazing it not homophobic like Disney,5
7e0eb0ac-d0d5-4a31-a67d-547385bfd990,"I know nothing about experience , Google is my teacher",5
85af0fc8-d6d1-4c2f-bb28-44dac45639fe,Very cool <3,5
62d0232f-8a16-4c15-bbb0-ef8b861c0b1e,Cannot open my app and even also can't uninstall it 🤦,1
8931d423-0aa6-40f2-be55-b7cf9d4f9873,V good app for entertainment,5
7e51f6f8-1c25-47dc-b328-eede84b2431a,Still trying to get it downloaded😭,3
2bd2e14b-8308-4463-8327-5eede5c93bb8,Please fix the issue where netflix is being stopped again n again,1
90f28899-56fe-49ed-95cc-749dc451bbed,Season 3 of Pokémon sun and moon disapeared,1
a6aed724-8820-42f1-bc74-db4db14f83e6,Amazing,5
e49bb17c-f774-4e35-864f-a17deed9c3b8,👌👌🙃,5
d5aab75e-8dcb-4c81-b858-0321ec46c841,"_72.4222^78%. .？ .￥.,, . . . ※. . .",5
dfa9d72d-187b-4715-8093-0e7af041b976,please fix the subtitles,3
879c901c-4f29-44b3-8aa2-2d7ab6379a37,thaks,5
96249d39-2828-4453-ab61-73ec58130847,Top,4
2529cf40-c6de-4ccc-ab0a-bd6014426ae6,Good,5
e2e339a4-94d9-45bf-8027-96c36bbda23e,Awesome,5
a8074125-cc4f-4f16-9ebf-b55ceb412adc,WORST. JUST AUTOMATICALLY DEDUCTING MY GCASH,1
1e2fef64-f5e8-47f1-8a95-cbc0999b1afc,1 star.. poorly written categorys,1
17a873ab-17e8-4c92-bb7d-8317977407f7,"No option to change Subtitles colour,",1
f1704819-fa75-4fdb-826b-4bb5ddc51334,It's the best,5
7602b9cc-f1da-4012-9a63-4852775122c0,It has rick and Morty,3
3e206866-bcf4-48aa-a90e-35e10bee8da9,love it1111,5
838e6b4e-4f88-406d-9dcf-1ea2b9e94f67,Awesome,5
ebe016bf-c563-4d75-b328-5bab096386c7,Good asf,5
59b7888a-5eae-4371-ba37-6d10a9337229,It ok nice and useful,5
