reviewId,content,score
2c48ba1b-7bd3-474e-9bc7-e5dc0583ee69,Wla lang HWHWHWHHW,5
18a88b83-4dfa-42f5-b565-4d4a1ed936f1,Goodapp,5
6f2ce71d-4ebb-489b-9c56-dbc54b8cf098,Good,5
bbdc015e-8dd0-4c07-9bdf-6619f9204270,Good,1
3da40e46-aede-455e-81d8-dd9ebb33fbc7,.hossain,5
54e859b7-3d1a-4f43-8cd2-892b07232416,Good,5
650f1f62-00c0-4b54-8bf1-bb37e25aaa9a,It's help full,5
f4e70205-bf12-4cc8-9f4f-b1dc1b7ebada,Awesome super episode 👏 namaste namaste 🙏 keep it up and get it done in the morning and happy new years eve namaste,5
3f22b978-45ab-44c1-9895-d9eb53758f17,Fast and perfect,5
85279118-4071-4334-839a-88279df61976,Very good,5
bde40cbc-9760-40c1-b57c-0d0e436338af,So pasthzjkansnakkzjanzjkanannzjsnsnzjjajakznsnnnJjjakKajzajzznzjnans hunderstand Chubby Bunny muchbbjjzjajaaajsjsjjajjsjjsjssjkzjbsjsksnsbSCjxwnjnsjsjakaksksjkakamzkkakaakakaaakkakakakakssnssnjajajananannananananananajsjaanannan\aajajajjajajaajkakakakakakkajajakjaksksakakajakakakskssmshsjjajajsmjsbdbisuwowoksienejjsjwnnwnsnnsnsnsnnnsnnsnsnsnzjznsnnznsnsnjkzjsnsnsn dnsnsjjsjsnsnnksnannzjbsbsksjbsbsjjsjbsbsksjsbbsjsnsnnsnsnsnsnkskbdbksjbsnkskebnsnsjsojsjsjsnsnsshgfgcddjjbsnekoDrbrnjsksbsjdnsnenn,5
bc0a7e5a-c15e-4bbc-b293-cd1983be30b3,Good,5
48e66cb2-f158-428d-bbcf-1c62462e8e23,Ok,1
f7e4b35a-3803-4839-bb86-f23d5300d50e,Nice,5
5e8aa215-5bc0-40d6-b597-c22bf4d9006e,Cant share apks directly and send the through other apps. And why is it asking for my location?,1
fd4e1f69-ba7b-4683-ba2f-4b1e988e57ba,Good,5
b025db4b-2998-4162-b3c2-2f7aa9be6438,good,5
07e918ab-431c-4dbb-8157-db3bf97bc633,Awesome,5
b5d5c6b1-3a1e-490d-8091-0ed400d637cb,So nice,5
5ac0b7ef-e2ad-4049-9c3d-764072b7bff3,Good,5
9cea7e0d-bf4f-46f0-a65c-59d51573337b,Good app,5
cdcdc8da-fa78-4fd7-ad89-3672cf1727e6,"Super easy and super fast to use, no glitches, no crazy ads and not finnicky, transfered files from android to ios easily.",5
f43afa94-a0ec-4e9b-b3e1-c299f1b45210,Very professional in down loading and giving five starts,5
50cd903b-131d-4ef8-b5a8-9dcf384cf5cd,past and good to send and receive apps or anything ☺️,5
a300056f-3842-4a81-916b-109fe8bf21fe,L Sewape,5
5c0ed786-13e8-47e8-bcdc-4f34eee30b7a,Why this app tries to copy instagram and you tube 😒,1
a3649bdc-6469-409a-a652-a44f4b8e5349,Good app,5
81e83f29-855f-44e6-a6d3-4c6f3b5b9747,nice app,5
b14468d9-23d6-4b64-90b0-64b31ed2d2a6,Good,5
c791e0a4-184d-4d49-81c1-5f06652dcc71,Excellent,5
bfbc345e-d2a2-4ccb-b757-57a0ba74314b,It. So. Boring,1
9025e1ad-5fb3-412d-a59c-c00a93b62e75,Great,5
4b250f37-74ce-488e-ac18-77bad417eb88,Shareit download,1
c71b2477-4c3d-4106-b432-07d54728defc,Perfect,1
35bdd94c-3590-4c34-832e-e88f0ff95edc,Key,5
a0f59e84-c942-43d9-a1ec-f4f5f10145d4,Magada sya dahil may kasama pang clean yonlang 😅😅😑,5
17a3e98f-111c-421d-b1b6-0df567e7276b,Better app👍,4
baea0049-7917-40dd-bb65-b4f6b2509022,Ga ada lisesnsi asu,1
c9b938c2-8995-4cfd-b587-334d34a7a6b2,Awesome,3
872dc472-b52e-4110-84a9-cf70d37e9c1d,Works fine with all our Huawei phones😊,5
1cf8d2c2-670e-4e35-8911-68bcd43a9cf8,So great 😁👍,5
b2ec8b4a-9bc6-4087-8e3d-c4cd56edf8aa,☆☆☆,3
7ebcd2f8-f27a-4f6b-9534-3aeb79f32203,Azzssvwwz =-O f2f Doggett f.ytfw,4
43153339-0a27-458a-846d-abdaae3b6add,"Transferd all my pictures from my phone (15.000) to my pad, on my pad all the picture was dumped into 1 folder called ""Sharetit” I thought Shareit would transfer folder by folder not make a big mess.... Bye bye Shareit!!",1
d4e9159f-399e-4fd8-b1d2-44b543364827,Love its,5
498039ef-9c4e-4c0c-b853-ed39e4ecdc3e,Good app,5
f7b15146-2970-4f8a-9909-8bceda595524,Rock in rock,3
22e4a707-a815-4280-a715-c9281793db67,This piece of work is giving images I don't WANT!!!! WHAT IS WRONG WITH THIS APP!!,1
5c6a8571-e0a0-4051-9222-38917f01a83e,Kanakan Sindatu,5
04928e46-f255-4c01-953e-7e96db13192c,A very good app in the world for sharing our data,5
ce7904ea-b55d-49b9-95b4-f57b69c1e3ff,Love this perfect application,5
b8253a86-cc15-4505-8095-06667a1d5810,Saif,4
84a384a8-025e-4e72-9490-d8f34f0808ba,Great,5
d3493971-0d75-4788-902d-f08943a2abd8,Love this,5
04158b20-06d1-4cc0-8dc8-5ace5972a0f5,It's great,5
c74f354e-0b38-4c5e-9d27-177bd9825ed7,Gerry good apps i like this app,4
ff7aa17d-2fa0-477b-b867-31412ace259b,Faariis mahamad Ahmadii Ahmadii,1
