reviewId,content,score
8379df32-1a94-4fc2-ba90-0e1cf0497b85,Still utter shite. Can't even get to the login page cause it says no internet on mobile l. Except everything else works. Works on wifi.,1
76bfc84f-61d2-4c0d-a57f-f3ff8dfb6d0c,use skype everyday for my nfp organisation,5
25062af6-0736-4ba9-8f0b-e1e36a489075,great app,5
22ae5460-1b04-4dd2-b1cb-b26f55013b5d,Easy communication with every one on the Skype it has make me happy,5
b6f39b5f-5fdc-4de1-b999-b48a0547c386,👉👌,5
d5791053-1b42-4a2a-8596-6852ed6adaa3,Unsubscribe HOW???,1
c3625a7c-3d5a-458e-bd90-e4da69e58d43,All good. Chat message search and loading history is slow. Else calls are vrry good quality.,4
e9efcf1b-b316-4b41-acbd-c0a9a61fe3a0,"Why Skype is not working properly since yesterday here in Philippines. I cannot send videos ,photos and message . Just loading and loading",3
d3a93a82-5726-4687-bc85-1344275f0cd1,Too many scammers using it.,1
d10bff3b-8b59-41a2-9c53-1fba20466192,Shop perfect,5
b2220325-82c4-466b-b208-41ba38713182,Does not work on my tablet,1
fc010691-5b82-499f-a7e8-67cb07c4df31,MRG,5
2ce06fda-47e2-4b66-8d7d-0354bec3b629,Very satisfied,5
af5cf817-2d65-4815-a3a2-d741a06a055f,Buena para ambiente laboral,5
d18fa0c1-5ecb-4f2b-b0b5-d550c125dd9a,Worst app ever,1
84fd128b-a650-451e-99f4-db0bc985c35f,"Good but need improvement. I wanted to delete my account but can't without deleting my entire Microsoft account 😪 It should give an option to delete and deactivate just one app, not my whole account. Get it right, MICROSOFT",3
86661ef4-4532-468f-adb0-967f8105ae46,Very nice and good luck,4
a69a26a4-180a-4f5e-b2de-d1beb5929da7,Best app for interaction,5
11ff44b7-b16b-4910-99f6-ad30f4a413ca,Good,5
df5d1ad1-5506-4ed8-91ad-e1fad9fee580,I have no interest in this rgram,1
c876de6a-30d6-496a-9573-9d6bdc4c5805,I Don't use Skype and I Don't want it.,1
0671c6fb-4bde-4028-95e7-41d503b4aee1,"When I make a call the app bugs out, disappearing from my history, keeping me from selecting menu items or even hanging up.",1
aacb0527-e058-453d-82e7-809750b2cd5d,Works,5
edb37b7f-3754-4fb8-aa93-339640ac631b,WHO,5
ab28f5f6-a373-4c34-9014-cb60b4ca80d1,😍,5
1a4d4f24-d5ec-4363-8d6c-4f9720cb9841,Better application for video calls,5
c3271b7a-8b59-4be7-afab-f021fc22f383,Good!,3
