reviewId,content,score
ba535032-d9d4-4170-a9e0-bbc3bc1f4846,Good,4
75577dcb-3b11-4e5c-af9a-277ca0692959,Shity bc it won't let me login,1
efeb7efa-14c8-45cb-a65a-b08fed6f277f,Happy,5
ab661f0c-3eee-4e0a-9cc1-4d7d2bed9eb6,"I,m informed from everything",5
95ef8dfb-f9dd-484d-91ae-83a5509914a7,"Very poorly created app. Scroll down to the 50th comment of a tweet, reply to it, and the app will take you back to top to start another scroll mission to get to where you were. Play a video, and it will roop endlessly even when you closed the app, untill it feels like to shut up. Very bad something. But we keep managing it, hoping and waiting for better option.",2
8e3f7884-c642-415c-9a3f-c3ec871d1e44,To be honest. They're just not that fair. I think there is a chance things will change when he takes over. But I am certainly not waiting for it. Really really liberally biased and I'm politically neutral. I mean really biased! Like insane.,1
1533b781-2021-4471-bdf5-04cd86fb9435,Grt,5
57f05641-39c7-49db-8f09-d9a6299e9937,Everytime you try to make a new account on the app Twitter fod e closes itself,1
e8e0b6fa-6bcf-4172-a2c7-9cc9fecbd46a,"When I go to add a tweet onto one I'm already composing, I can't see what I'm typing in the second tweet unless I close out of the app. Doesn't matter that I'm saying this here as you all NEVER respond to reviews because y'all are too rich to care. But your app constantly has issues that none of you address because you decide we need ""super followers"" and a ""downvote button"" instead of any other feature that would actually address the issues we bring to your attention.",1
5e55be8e-0036-4038-8622-d1dffa40abe7,I like this app,5
1b426620-1def-4371-88fb-6dc1d03ce8bf,"This is a great and interesting app but there are some problems that people don't like. First of all, it doesn't have automatic language translator. The second is that you can't read the comments of others",3
7946db38-fd1a-4ee7-9ec8-d5fc349a4929,Like everything about the app.,5
925d952c-05c1-4a5c-8403-f6f5fe877c96,Good,4
bb63ad0a-ec2d-4317-9660-74b2b1973a7e,This app is good and I like it,5
8f038e7b-6897-4fb6-bff4-23e7c45c7744,"Apart from everything else, I request twitter to be more vigilant, responsive n action taking against antisocial elements on twitter. You should pro actively delete people from twitter who try to spread poison in the communities 🙏",4
ce82c08e-d822-4300-817d-91fb0e5d2207,And why you people never considered the font style option ....,1
9e83106a-d876-4952-b83d-044eca8ee61a,In dark mode I cannot see some text e.g. while changing account or logging out,2
b2b19131-6e20-4348-81d6-01adfe8694ed,"Please stop recommend me with tweets from people i don't follow and topics i don't follow on my timeline. I just want to see tweets and other activities from POPLE THAT I FOLLOW. I beg of you to fix it. Twitter used to be a safe place for me, now it's toxic.",1
b921bebb-0d6b-4210-a10b-3711278f690c,Verry nice app,5
3fc336c3-2666-4271-86d0-19090ef4e4a1,"How i gona like this app? I mean why most people in Twitter is so racist, i can't... Please do something (If you hate politics, phone wars, endless hate comments & post about Ukrane vs Russia, don't download this app for sosial you will hate it trust me)",1
0ee3c73b-8b6e-4780-8c6b-afea4dad5cc5,👉👌,1
27156d4e-f755-4a56-b836-2a85a6e38b4f,I like it.,5
8978f04f-9fc1-4b81-99f9-16206fc26350,"Updated twitter is the worst one , so annoying 😑 constantly it's showing glitch , not able to send gifs multiple times ... resolve this matter",1
df1bc72f-a652-452c-8fea-bd1ed10dc55f,Excellent,5
d41c72f2-39ca-4d58-a50b-310c39b3ff8f,Awesome.,5
bab28e6f-1766-461e-a8b5-6ac0a4e4df32,Amazing,5
c68e0272-65ae-4592-bc5f-8707c411204e,Useless Social media ever!!!,1
517862e4-efb9-44f9-91f0-6c7d4ece9e28,Always interesting and a great form of self expression,5
555dbd4e-2bf4-4ff7-ada0-ea8803003117,Essay to use and cool,5
49c04aac-de64-4dc6-8d9a-cf94b317637b,Nice,5
6e718b94-8b69-4720-a6e9-463e068c8832,The twitter dm is so laggy now whyy,1
3a0afba9-bfcd-4507-9536-1ffcc3644b64,Excellent app.,4
1aa7f364-e741-4320-911c-867b8900889a,very well,5
1d88d3d3-055e-455d-9483-281cd712fc70,"Buggy, for example: Can't exit the app when I open a message from the notifications",1
99841ab5-20e2-414e-aa65-460a7c456294,"I appreciate, its great and useful",5
f8af9aaa-4a19-44fd-9840-47e212cecccc,"I realise Musk is buying this platform, at present you can keep it as a safe space but I don't think it will be afterwards",4
ee077eda-e8f3-4d26-9568-9cdcfb7bc0de,Very good access.excellent zoom.functions.privacy and quality,5
7220f706-c4eb-46e8-bbb6-2260a920f326,Love it,5
b03b0640-4e1c-423d-9194-d77e9b37de5a,I can't even make an account it just freezes whenever I verify my phone number so good job on wasting all that money Elon maybe make the app usable? Idk seems like a reasonable request and common sense but curious to how people are able to make twitter accounts when twitter doesn't work on anything for me,1
40f18f94-2558-446d-b677-7b3cd61fe4c4,Good,5
b2e69b4c-cf32-4b7d-b676-da189a5b1d48,Very good app,5
2d0870a1-3369-4d5f-8401-efd04d584ec0,Nice,5
8bbc4a4e-d176-4bcf-bae4-8b895db72906,I want to grow my account,5
304d0fa1-820d-4f4b-820a-674c8431491f,we can see many good thing in this app,4
6a19c2c4-abdd-4b37-93c9-9bc80c6c4908,👍,5
db66e1d3-61eb-4344-b2b6-b7b13d02d443,Ban h0rny Video,3
f06ce775-9803-4b39-b592-ec23e5cb3f26,"I like how the app works in general, every aspect works well",5
88623711-7461-4a07-bc3f-b4b9afd89677,Good,5
7a32bed2-cb11-4627-8b73-42165b662bf9,It seems more useful if the editable feature add to tweet options.,4
7318cdf0-1192-4a83-a808-646b6f0ddf4f,Very nice aapse,5
f121ddcd-9987-4929-9b6c-391c3c5de1cb,It depends how you use it,5
7a315168-c9ac-40dc-a5a4-af23aaa0cf08,I hate twitter so much they keep suspending my account for no reason at all 😭😭 it's genuinely so frustrating I can't even get them back n I don't want it either please save yourself and never install this app coz it's useless,1
1f629004-5786-4035-852c-f6d022285976,This app is so good by this app i can bycott any think any one i bycott my bua and next day she dies,5
17ec7a49-d75f-4bde-a13f-eaa54427673b,Great app :-) very happy with it,5
